TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,BLACK SHOUT,,2017-04-19,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181054/a96a7167-05460720-ffafe16a-6e22fe41.jpg,Roselia,오리지널,https://youtu.be/MmnU-s1TdsI?si=psjzhOEUcRzz0mfq,https://namu.wiki/w/BLACK%20SHOUT
,LOUDER,,2017-04-19,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181054/a96a7167-05460720-ffafe16a-6e22fe41.jpg,Roselia,오리지널,https://youtu.be/RZBHAjojJhg,https://namu.wiki/w/LOUDER
,Re:birth day,,2017-06-28,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181106/2fb70891-c3087657-a5f94930-4c35a550.jpg,Roselia,오리지널,https://youtu.be/cqY4sBLd-_E,https://namu.wiki/w/Re%3Abirth%20day
,陽だまりロードナイト,양지 로도나이트,2017-06-28,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181106/2fb70891-c3087657-a5f94930-4c35a550.jpg,Roselia,오리지널,https://youtu.be/KjgjeK-ppd0,https://namu.wiki/w/%E9%99%BD%E3%81%A0%E3%81%BE%E3%82%8A%E3%83%AD%E3%83%BC%E3%83%89%E3%83%8A%E3%82%A4%E3%83%88
,熱色スターマイン,열색 스타마인,2017-08-30,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181137/2cf5a20d-a17a81e8-c17e6727-1dd7cdcb.jpg,Roselia,오리지널,https://youtu.be/DZNOUNsvWps,https://namu.wiki/w/%E7%86%B1%E8%89%B2%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%9E%E3%82%A4%E3%83%B3
,－HEROIC ADVENT－,,2017-08-30,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181137/2cf5a20d-a17a81e8-c17e6727-1dd7cdcb.jpg,Roselia,오리지널,https://youtu.be/HD--qY58fsM,https://namu.wiki/w/-HEROIC%20ADVENT-
,ONENESS,,2017-11-29,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181154/6e5df29e-7496b577-16ab947d-78b10c5d.jpg,Roselia,오리지널,https://youtu.be/m3mZynIlQe0,https://namu.wiki/w/ONENESS
,Determination Symphony,,2017-11-29,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181154/6e5df29e-7496b577-16ab947d-78b10c5d.jpg,Roselia,오리지널,https://youtu.be/4jyT00Gn2Ec,https://namu.wiki/w/Determination%20Symphony
,Opera of the wasteland,,2018-03-21,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181221/c9306366-98f74e2e-b561e392-3140193c.jpg,Roselia,오리지널,https://youtu.be/kzzXxwU3qo4,https://namu.wiki/w/Opera%20of%20the%20wasteland
,軌跡,궤적,2018-03-21,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181221/c9306366-98f74e2e-b561e392-3140193c.jpg,Roselia,오리지널,https://youtu.be/P2BT98BC1N8,https://namu.wiki/w/%E8%BB%8C%E8%B7%A1
,Neo-Aspect,,2018-05-02,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181226/6b2eea44-300fc183-b9cf0fc7-01aed89b.jpg,Roselia,오리지널,https://youtu.be/03iVXFZ8jrs?si=CYeyxVt8ncoWPw4Y,https://namu.wiki/w/Neo-Aspect
