TJ번호,제목(원어),제목(한국어),발매일 / 커버일,앨범커버,원곡가수,곡유형,링크,번역가사 링크
,That Is How I Roll!,,2017-09-06,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181141/5d445162-d90ef66a-f15a9043-70ecbddc-768x762.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=_lfuqSepLNw,https://namu.wiki/w/That%20Is%20How%20I%20Roll%21
,True Color,,2017-09-06,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181141/5d445162-d90ef66a-f15a9043-70ecbddc-768x762.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=zOTQpZkq_vk,https://namu.wiki/w/True%20color
,Hey-day狂騒曲 (カプリチオ),Hey-day광상곡 (카프리치오),2018-01-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181203/4a3ac245-ebc2f6df-a668bb75-166570b2.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=czHlLBls4oo,https://namu.wiki/w/Hey-day%E7%8B%82%E9%A8%92%E6%9B%B2%20%28%E3%82%AB%E3%83%97%E3%83%AA%E3%83%81%E3%82%AA%29
,Scarlet Sky,,2018-01-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181203/4a3ac245-ebc2f6df-a668bb75-166570b2.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=tfZBC32tcwo,https://namu.wiki/w/Scarlet%20Sky
,ツナグ、ソラモヨウ,이어진 하늘 모양,2018-10-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181355/0661ef92-01082231-ca3fdda2-047e42e2.png,Afterglow,오리지널,https://www.youtube.com/watch?v=BnWyq8p7NzI,https://namu.wiki/w/%E3%83%84%E3%83%8A%E3%82%B0%E3%80%81%E3%82%BD%E3%83%A9%E3%83%A2%E3%83%A8%E3%82%A6
,Jamboree！Journey！,,2018-10-31,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181355/0661ef92-01082231-ca3fdda2-047e42e2.png,Afterglow,오리지널,https://www.youtube.com/watch?v=UEBaKDkey40,https://namu.wiki/w/Jamboree%21Journey%21
,Y.O.L.O！！！！！,,2019-02-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181434/a7001b37-05457f1f-4aabce95-1da7860d.png,Afterglow,오리지널,https://www.youtube.com/watch?v=75ZPcIfaqNY,https://namu.wiki/w/Y.O.L.O%21%21%21%21%21
,COMIC PANIC!!!,,2019-02-20,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181434/a7001b37-05457f1f-4aabce95-1da7860d.png,Afterglow,오리지널,https://www.youtube.com/watch?v=U_-KGtDmGt0,https://namu.wiki/w/COMIC%20PANIC%21%21%21
,ON YOUR MARK,,2019-10-23,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181531/6d59d438-7dda2070-c9ae9063-3d644163-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=09B-WljIiTo,https://namu.wiki/w/ON%20YOUR%20MARK
,ランブリングメモリー,Rumbling Memory,2019-10-23,https://bang-dream.com/wordpress/wp-content/uploads/2026/02/17181531/6d59d438-7dda2070-c9ae9063-3d644163-768x768.jpg,Afterglow,오리지널,https://www.youtube.com/watch?v=vRHfyDdge6s,https://namu.wiki/w/%E3%83%A9%E3%83%B3%E3%83%96%E3%83%AA%E3%83%B3%E3%82%B0%E3%83%A1%E3%83%A2%E3%83%AA%E3%83%BC
